# DESCRIPTION:
# Reference: Zarriess, M et al. (2011): Bipolar seesaw in the northeastern tropical Atlantic during Heinrich stadials. Geophysical Research Letters, 38, L04706, https://doi.org/10.1029/2010GL046070.
# Data from: https://doi.org/10.1594/PANGAEA.756436. Accessed 07 Jan 2023.
# Data from: https://doi.org/10.1594/PANGAEA.756440. Accessed 07 Jan 2023.
# Comment: Several variables from the original dataset are not included here.

Depth [m],Depth comp [mcd],Age [ka BP],SST (1-12) [°C],C. wuellerstorfi δ18O [‰ PDB]
4.4,4.55,35.62,23.44,4.23
4.45,4.6,35.88,24.12,4.12
4.5,4.65,36.13,23.88,4.01
4.55,4.7,36.39,23.47,4.05
4.6,4.75,36.64,,4.09
4.65,4.8,36.9,23.96,4.14
4.7,4.85,37.16,24.34,4.13
4.75,4.9,37.41,24.13,4.24
4.8,4.95,37.67,23.98,4.18
4.85,5,37.92,24.05,4.04
4.9,5.05,38.18,23.59,4.14
4.95,5.1,38.44,25.26,3.92
5,5.15,38.69,24.71,3.91
5.05,5.2,38.95,24.71,3.91
5.1,5.25,39.2,,3.88
5.15,5.3,39.54,25.27,4.1
5.2,5.35,39.87,24.03,4.08
5.25,5.4,40.21,24.23,4.26
5.3,5.45,40.54,23.13,4.21
5.35,5.5,40.88,24.2,4.14
5.4,5.55,41.21,23.44,4.13
5.45,5.6,41.55,23.92,4.17
5.5,5.65,41.88,23.55,4.15
5.55,5.7,42.22,24.12,4.14
5.6,5.75,42.55,24.37,4.11
5.65,5.8,42.88,23.93,4.1
5.7,5.85,43.22,24.34,4.17
5.75,5.9,43.55,24.16,4.16
5.8,5.95,43.89,23.54,4.02
5.85,6,44.22,24.52,3.89
5.9,6.05,44.56,23.87,4.07
5.95,6.1,44.89,24.4,
6,6.15,45.23,23.46,4.09
6.05,6.2,45.56,23.54,4.21
6.1,6.25,45.9,23.49,4.07
6.15,6.3,46.23,23.74,3.92
6.2,6.35,46.57,23.47,3.93
6.25,6.4,46.9,24,3.82
6.3,6.45,47.24,24.65,3.82
6.35,6.5,47.57,23.81,3.7
6.4,6.55,47.87,23.81,3.74
6.45,6.6,48.18,23.9,3.93
6.5,6.65,48.48,24.97,3.91
6.55,6.7,48.78,23.72,4.01
6.6,6.75,49.08,,4.09
6.65,6.8,49.39,22.95,4.12
6.7,6.85,49.69,,4.01
6.75,6.9,49.99,23.88,4.05
6.8,6.95,50.3,23.51,4.2
6.85,7,50.6,22.68,4.08
6.9,7.05,50.9,23.49,4.08
6.95,7.1,51.2,23.66,3.82
7,7.15,51.51,23.74,4.01
7.05,7.2,51.81,23.7,4
7.1,7.25,52.11,24.42,3.93
7.15,7.3,52.42,24.33,4
7.2,7.35,52.72,25.17,3.96
7.25,7.4,53.02,24.51,3.76
7.3,7.45,53.32,,3.8
7.35,7.5,53.63,24.22,3.78
7.4,7.55,53.93,23.71,3.73
7.45,7.6,54.14,25.36,3.74
7.5,7.65,54.35,24.79,3.83
7.55,7.7,54.56,24.44,3.94
7.6,7.75,54.77,24.69,3.89
7.65,7.8,54.98,24.63,3.83
7.7,7.85,55.19,23.93,3.76
7.75,7.9,55.41,24.09,3.95
7.8,7.95,55.62,24.26,3.98
7.85,8,55.83,23.98,3.97
7.9,8.05,56.04,23.31,4.17
7.95,8.1,56.25,24.17,4.32
8,8.15,56.68,24.5,3.98
8.05,8.2,57.12,24.54,3.89
8.1,8.25,57.55,24.07,3.81
8.15,8.3,57.98,23.73,3.82
8.2,8.35,58.42,25.08,3.88
8.25,8.4,58.85,24.85,3.76
8.3,8.45,59.1,25.42,3.84
8.35,8.5,59.34,25.9,3.86
8.4,8.55,59.59,24.84,3.98
8.45,8.6,59.84,25.64,3.76
8.5,8.65,60.08,25.18,3.89
8.55,8.7,60.33,26.12,3.99
8.6,8.75,60.58,25.28,4.13
8.65,8.8,60.82,25.11,4.07
8.7,8.85,61.07,25.24,3.97
8.75,8.9,61.31,24.51,4.17
8.8,8.95,61.83,24.31,4.07
8.85,9,62.36,24.58,4.18
8.9,9.05,62.88,23.54,4.29
8.95,9.1,63.4,24.76,4.15
9,9.15,63.92,24.35,4.12
9.05,9.2,64.45,24.94,4.16
9.1,9.25,64.97,24.38,4.08
9.15,9.3,65.49,24.81,4.17
9.2,9.35,66.01,23.93,4.05
9.25,9.4,66.54,24.03,4.11
9.3,9.45,67.06,,4.16
9.35,9.5,67.58,24.34,4.15
9.4,9.55,68.1,23.25,4.15
9.45,9.6,68.63,24.69,4.09
9.5,9.65,69.15,,3.92
9.55,9.7,69.59,23.7,4.06
9.6,9.75,70.02,24.18,4.19
9.65,9.8,70.46,24.24,4.04
9.7,9.85,70.9,,3.89
9.75,9.9,71.33,25.01,3.7
9.8,9.95,71.77,23.93,3.59
