/* DESCRIPTION:
Reference:	Hodell, D.A., K.A. Venz, C.D. Charles, and U.S. Ninnemann.  2003. Pleistocene vertical carbon isotope and carbonate gradients in the South Atlantic sector of the Southern Ocean. Geochemistry, Geophysics, Geosystems, Vol. 4, Number 1, 1004, doi:1010.1029/2002GC000367
Data from:	https://www.ncei.noaa.gov/pub/data/paleo/contributions_by_author/hodell2003/. Accessed 22 Nov 2022.
Comment:	Empty data points were removed.
	Several variables from the original dataset are not included here.
*/
Age (ka)	d18O G. bulloides (permil)	d13C G. bulloides (permil)	d18O Cibicidoides (permil)	d13C Cibicidoides (permil)	CaCO3 (wt%)
41.77	3.37	0.59	3.91	-0.37	43.2
42.05	3.17	0.72	3.83	-0.46	37.8
42.32	3.03	0.73			48.8
42.6	2.9	0.53			
42.87	2.96	0.56			
43.15	3.01	0.43	3.86	-0.75	43.8
43.42	2.97	0.43	3.97	-1.16	45
43.7	3.32	0.76	3.8	-0.46	51.3
43.97	3.08	0.37	3.76	-0.55	51
44.25	2.89	0.22	3.83	-0.42	52.9
44.52	2.57	0.43	3.76	-0.47	49.6
44.8	2.8	0.57	3.86	-0.49	43.3
45.07	2.88	0.48	3.83	-0.4	40.3
45.35	2.92	0.28	3.75	-0.51	36.5
45.62	2.8	0.34			
45.9	2.67	0.46	3.78	-0.67	36.5
46.17	2.88	0.54	3.76	-0.72	39.7
46.47	2.66	-0.04			43
46.76			3.87	-0.81	44.3
47.05	3.2	0.47	3.84	-0.8	42
47.34	3.11		3.84	-0.59	41.8
47.64	3.12		3.91	-0.68	44.6
47.93	2.99				49.3
48.22	3.28		3.84	-0.45	48.7
48.51	3.13	0.67			
48.8	3.24		3.8	-0.57	51.2
49.1	3.23		3.87	-0.54	50.3
49.39	3.11		3.77	-0.42	47.5
49.68	3.06		3.74	-0.25	55.7
49.97	3.03		3.86	-0.54	56.5
50.26	3.09		3.74	-0.51	56.7
50.56	2.9		3.75	-0.65	57.6
50.85	2.99		3.76	-0.28	57.3
51.14	2.89	0.36			
51.43	2.87	0.51			
51.73	2.8		3.76	-0.71	52.9
52.03	3		3.78	-0.44	49.5
52.33	2.86		3.81	-0.66	52.8
52.62	2.91		3.88	-0.79	52.5
52.92	3.04		3.9	-0.7	50.5
53.22	2.92		3.87	-0.67	46.4
53.52	3.06		3.8	-0.65	56.9
53.82	3.03		3.88	-0.42	55.2
54.11	2.83		3.78	-0.69	55.4
54.41	2.9	1.03	3.69	-0.25	
54.71	3		3.81	-0.45	53.3
55.01	2.75		3.88	-0.68	53.7
55.3			3.82	-0.44	52.8
55.6	2.79				44.5
55.9	3.01		3.82	-0.74	38.2
56.2	2.85		3.77	-0.65	40.8
56.5	2.86		3.82	-0.62	39.8
56.79	2.98		3.78	-0.37	31.3
57.11	3		3.8	-0.67	30.9
57.44	2.88	0.27			
57.77	2.89				29.1
58.1	3.24		3.82	-0.8	25.3
58.43	2.92		3.75	-0.8	23.8
58.76	2.74		3.66	-0.78	22
59.09	3				19.2
59.42	2.94	0.13			
59.82	2.97	0.15	3.75	-0.96	
60.15	3.18	0.28			21.7
60.48	2.83	-0.35			20.7
60.81	2.81	0.09			
61.14	3.04	0.13			
61.47	2.83	0.29	3.8	-1.24	22.2
61.8	3.02	-0.05	3.79	-1.13	20
62.13	2.77	-0.09	3.86	-1.08	14.1
62.46	2.63	-0.05	3.93	-1.02	17.9
62.79	2.74	-0.15	3.84	-1.15	17.4
63.16	3.02	0.21	3.88	-0.81	13.1
63.55	2.85	0.15	3.89	-0.78	11.4
63.95			3.77	-0.97	12.3
64.35	2.93	0.3			12.9
64.75	2.83	0.25			
65.15	3.07	0.38			17
65.54	2.98	0.04	3.86	-1.07	16.3
65.94	2.93	0.25	3.88	-0.87	17.3
66.34	3.18	0.28			17.8
66.74	2.99	0.07	3.93	-0.95	17.1
67.14	2.88	0.01	3.82	-0.91	15
67.53	3.16	0.47	3.79	-0.89	13
67.93	2.86	0.63	3.8	-0.87	15.8
68.33	2.74	0.47	3.82	-0.81	18.3
68.73	3.16	0.47	3.94	-1.05	
69.12	2.8	0.27	3.8	-0.99	14.3
69.52	3.27	0.51	3.71	-0.81	
69.92	3.11	0.2	3.79	-0.87	16.3
70.29	2.72	0.14	3.81	-1.09	18.6
70.59	2.9	0.35	3.72	-0.87	16.2
70.89	2.69	0.27	3.7	-0.89	
71.19	2.67	0.22	3.67	-0.68	
71.49	3.04	0.43	3.82	-0.45	
71.79			3.67	-0.37	
72.09	3.11	0.81	3.64	-0.54	
72.39	2.74	0.12	3.58	-0.68	26.3
72.69	2.79	0.55	3.56	-0.21	11.6
72.99	2.7	0.37	3.59	-0.65	12.8
73.29	2.45	0.38	3.4	-0.23	16.5
73.59	2.61	0.38	3.49	-0.4	19.7
73.89	3.35	0.08	3.54	-0.22	
74.19	3.03	0.95	3.48	-0.04	
74.49	2.74	0.76	3.5	-0.14	29.9
74.79	2.94	1	3.52	-0.15	28.3
75.09	2.82	1.14	3.42	-0.45	
75.39	2.61	0.73	3.38	-0.17	55
75.69	2.44	0.36	3.52	-0.51	19.2
75.99	2.43	0.04	3.37	-0.12	22.3
76.3	2.54	0.91	3.52	-0.32	
76.6	2.77	0.66	3.44	-0.23	31.3
76.9	2.68	1.06	3.37	-0.41	36.8
77.2	2.44	0.87	3.43	-0.38	36.3
77.5	2.47	0.64	3.38	0.04	39.6
77.8	2.33	0.56	3.4	-0.31	41.5
78.1	2.68	0.96	3.18	-0.23	
78.4	2.47	0.55	3.33	-0.38	48.6
78.71	2.56	0.92	3.18	-0.27	
79.13	2.49	0.88	3.14	0.06	47.8
79.43	2.33	0.53	3	0.03	44.4
79.73	2.33	0.59	3	-0.2	40
80.03	2.44	0.69	2.96	-0.23	40.8
80.33	2.48	0.74	2.91	-0.26	31.9
80.63	2.49	0.75	3.04	-0.35	23.8
80.94	2.73	0.49	3.09	-0.4	22.5
81.25	2.31	0.77	2.95	-0.52	18.3
81.72	2.46	0.56	3.03	-0.32	18.8
82.19	2.55	0.7	3.41	-0.7	
82.66	2.26	0.27	3.26	-0.42	19.1
83.13	2.46	0.53	3.34	-0.63	14.8
83.6	2.08	0.09	3.23	-0.59	12.6
84.07	2.17	0.28	3.17	-0.82	13.8
84.54	2.25	0.38	3.36	-0.81	16.4
85.02	2.23	0.19	3.3	-0.86	17.1
85.49	2.59	0.36	3.41	-0.62	21.1
85.96	2.72	0.63	3.38	-0.44	24.8
86.27			3.42	-0.41	
86.9	2.86	0.49			
87.37	2.72	0.96	3.33	-0.29	27.3
87.84	2.72	0.76	3.29	-0.28	27.8
88.31	2.66	0.89	3.34	-0.45	26.3
88.78	2.71	0.77	3.48	-0.54	26.8
89.25	2.53	0.7	3.43	-0.7	22.9
89.72	2.55	0.63	3.26	-0.63	20.3
90.21	2.35	0.48	3.33	-0.58	22.1
90.71	2.53	0.69	3.33	-0.42	18.3
91.2	2.81	0.28	3.31	-0.68	18.6
91.7	2.7	0.75			
92.2	2.47	0.63	3.31	-0.59	22
92.69	2.32	0.41	3.24	-0.57	23
93.19	2.48	0.86	3.29	-0.68	22.7
93.69	2.63	0.6	3.2	-0.38	22.6
94.18	2.27	0.44	3.25	-0.33	21.5
94.68	2.48	0.91	3.14	-0.51	22.8
95.17	2.47	1.05			23.8
95.67	2.56	0.78			26.8
96.17	2.48	0.68	2.9	-0.08	27.6
96.66	2.42	0.81	3.06	-0.19	
97.16	2.54	0.85	3.08	-0.1	28.4
97.66	2.35	0.67	3.09	-0.04	30.2
98.15	2.5	0.62	3.14	-0.2	31.8
98.65	2.41	0.69	3.14	-0.42	33.1
99.13	2.23	0.83	3.07	-0.25	35.8
99.6	2.45	0.74	3.05	-0.13	37
100.07	2.46	0.78	3.2	-0.38	34.8
100.54	2.69	0.73	3.24	-0.19	36.9
101	2.42	0.79			
101.47	2.58	0.64	3.13	-0.1	
101.94	2.32	0.66	3.38	-0.54	35.3
102.41	2.53	0.77	3.42	-0.34	27.7
102.88	2.17	0.52			31.6
103.34	2.43	0.4	3.08	-0.55	22
103.81	2.39	0.75	3.14	-0.27	27
104.28	2.51	0.26	3.18	-0.79	23.7
104.7	2.4	0.81	3.3	-0.55	31.6
105.07	2.51	0.77	3.25	-0.64	36.8
105.4	2.68	0.55	3.32	-0.37	38.3
105.71	2.53	0.23			
106	2.67	0.35	3.24	-0.51	36.8
106.28	2.32	0.3	3.3	-0.47	34.5
106.55	2.3	0.32	3.31	-0.69	33.7
106.82	2.52	0.62	3.27	-0.9	29.8
107.08	2.4	0.12	3.31	-0.47	28.9
107.34	2.31	0.67	3.26	-0.53	
107.6	2.26	0.3	3.26	-0.37	16.8
107.86	2.27	0.2			14.5
108.12	2.3	0.02	3.26	-0.56	15.1
108.38	2.5	0.46			
108.65	2.11	0.5	3.31	-0.47	14.3
108.91	2.3	0.43	3.33	-0.73	14.4
109.18	2.54	0.46	3.3	-0.68	17.2
109.45	2.38	0.11	3.39	-0.62	21.1
109.73	2.13	0.33	3.37	-0.42	21.5
110.01	2.36	0.66	3.37	-0.38	23.3
110.57	2.73	0.59	3.31	-0.45	27
110.86	2.7	0.28	3.43	-0.57	
111.16	2.79	0.68			24.7
111.46	2.39	0.61	3.23	-0.46	23.3
111.76	2.18	0.1	3.39	-0.52	
112.06	2.28	0.26	3.3	-0.48	
112.38	2.7	0.66	3.31	-0.41	
112.69	2.42	0.23	3.29	-0.52	
113.01	2.59	0.28	3.26	-0.46	
113.34	2.33	0.7	3.34	-0.51	
113.67	2.28	0.12	3.19	-0.36	
114	2.23	0.54	3.15	-0.34	
114.35	2.61	0.72	2.89	-0.48	
114.56					13.2
114.91	2.2	0.72			15.1
115.27	2.85	0.39			13.2
115.63	2.2	0.18			12.3
116	2.05	0.42			13.3
116.37	1.83	0.28			14.3
116.75	2.5	0.48	2.75	-0.42	
117.13	2.42	0.38			
117.51	2.63	0.21			15.3
117.88	2.1	0.41			17.6
118.26	2.12	0.51			17.8
118.61	2.05	0.57			19.2
118.92	2.12	0.66	2.3	-0.04	19.3
119.11	2.16	0.61	2.39	-0.17	22.9
119.22	2.36	0.08	2.37	-0.18	23.5
119.31	2.02	0.67	2.39	-0.02	24.6
119.4	2.18	0.33	2.39	0.07	26.3
119.51	2.3	0.49		0	
119.64	1.84	0.74	2.5	-0.26	30.3
119.79	1.92	0.6			30.3
119.99	1.81	0.65			30.4
120.27			2.66	-0.14	30.8
120.7			2.44	-0.12	30.3
121.29	2.1	0.77	2.18	0.01	28.9
121.95	1.87	0.51	2.33	-0.09	27.3
122.58	1.79	1.21	2.05	0.09	28.3
123.15	1.84	0.62	1.98	-0.23	29.3
123.64	1.9	0.6	2.41	-0.66	
124.03	1.92	0.53	2.3	-0.32	32.2
124.35	2.12	0.74	2.16	-0.4	34.8
124.66	1.72	0.45	2.32	-0.34	34.5
124.98	1.95	0.35	2.28	-0.35	35
125.32	1.73	0.37	2.25	-0.25	37.9
125.67	1.92	0.16	2.36	-0.06	42.2
126.02	2.09	0.29	2.35	-0.14	44.3
126.38	1.71	0.13	2.37	-0.04	44.2
126.73	1.63	0.08	2.58	-0.29	
127.08	1.69	0.04	2.54	-0.09	
127.44	1.31	-0.39	2.66	-0.03	55.3
127.79	1.27	-0.52	2.85	-0.09	55.2
128.15	1.42	-0.37	2.83	-0.1	56.6
128.5	1.06	-0.59	2.74	0.06	54.8
128.85	1.28	-0.47	2.94	-0.14	58.5
129.21	1.72	-0.58	3.12	-0.02	56.1
129.56	1.66	-0.64	3.1	-0.07	61
129.92	1.82	-0.95	3.28	-0.12	58.9
130.27	2.46	-0.61	3.38	-0.23	60.9
130.63	2.43	-0.09	3.47	-0.62	
130.98	2.48	-0.27	3.53	-0.25	59.4
131.33	2.35	-0.34	3.67	-0.88	58.8
131.68	2.56	-0.07	3.51	-0.31	58.8
132.02	2.84	-0.08			58.7
132.36	2.82	0.11	3.82	-0.94	57.8
132.7	2.68	-0.45	3.85	-0.79	61.2
133.04	2.65	-0.13	3.91	-0.54	59.4
133.38	2.72	-0.4	4.02	-0.71	59.9
133.72	3.04	0.01	3.97	-0.75	60.3
134.06	2.93		3.98	-0.92	58.3
134.4	2.95	-0.48	4.1	-1.14	57.6
134.74	3.23	-0.08	4.09	-0.87	61.2
135.08	3.11	-0.38	4.09	-0.88	62.4
135.42	2.93	-0.24	4.29	-1	61.7
135.76	3.06	-0.09	4.24	-0.88	60.7
135.83	3.35	-0.11	4.18	-0.89	54.5
136.17	3.13	-0.15	4.22	-0.84	53.1
136.51	3.23	-0.18	4.17	-0.7	54.4
136.85	3.25	-0.18	4.29	-1.03	55.4
137.19	3.1	-0.14	3.97	-0.77	57.8
137.53	3.59	-0.08			56.4
137.87	3.21	-0.13	3.97	-0.89	56.3
138.21	3.06	-0.33	4	-0.79	51.8
138.55	3.01	-0.08	4.2	-1.08	48.9
138.9	3.29	0.02	3.99	-0.78	50.1
139.24	3.16	0.02	4.11	-0.94	48
139.58	3.46	0.17			46.4
139.93	3.25	0.17	4.14	-0.92	50.7
140.27	3.28	-0.24	4.08	-1.04	51.8
140.61	3.31	0.3	4.11	-1.01	49.6
140.95	3.12	-0.11	4.14	-1.18	47.3
141.3	3.32	0.18	4.07	-0.98	47.6
141.64	3.09	0.03	4.07	-0.98	47.3
141.98	2.94	-0.06	3.93	-0.66	52.7
142.33	3.2	-0.21	4.05	-0.87	47.8
142.67	3.1	-0.15	4.03	-1.17	45.4
143.01	3.02	-0.44	4.14	-1.22	46.3
143.36	2.69	-0.26	4.06	-1.26	45.2
143.7	3.08	-0.11	3.96	-1.18	42.3
144.04	3.17	-0.11			44.7
144.38	2.87	-0.15	4.09	-1.21	44.8
144.72	3.44	-0.25	4.18	-1.17	44.8
145.06	3.44	0.29	4.06	-0.98	45.8
145.4	3.06	-0.09	4.06	-1.08	49.8
145.74	3.17	0.07	4	-0.96	47.4
146.08	3.27	0.11	4.08	-1.03	44.9
146.42	3.13	-0.17	4.12	-0.99	47.1
146.76	3.33	0	4.08	-1.06	46.3
147.1	3.15	-0.1	4.01	-1	45.7
147.44	2.88	-0.27	4.05	-1.15	45.9
147.78	3.19	-0.37	4.03	-1.27	46.8
148.12	3.18	-0.34	4.1	-1.19	51.4
148.46	3.34	0.18	4.11	-1.01	49.5
148.8	3.39	0.08	3.85	-1.02	47.4
149.14	3.06	-0.16	4.02	-1.07	51.6
149.48	3.14	-0.33	4.02	-1.06	53
149.82	3.12	-0.19	4	-1.14	52.1
150.16	3.21	-0.08	3.9	-0.95	49.6
150.49	3.23	-0.16	4.02	-1.05	49.3
150.81	3.01	-0.31	3.88	-1.22	50.8
151.14	2.96	-0.26	3.95	-1.04	51.6
151.46	3.25	-0.03	3.92	-1.14	51
151.78	3.12	-0.01	4.09	-0.8	51.8
152.11	3.18	-0.35	4.11	-0.76	48.7
152.43	3.1	-0.5	4.12	-1.01	48.7
152.76	3.07	-0.14	4.01	-1.31	49
153.08			3.99	-1.07	47.1
153.45	3.04	-0.46			45.4
153.73	3.07	-0.44	3.96	-1.18	46.6
154.06	3.03	-0.34	4.02	-1.26	44.6
154.38	3.44	-0.19	4.17	-1.28	44.1
154.71	3.33	0.15	4.07	-0.99	43.2
155.03	3.28	0.23	4.11	-1.19	42.3
155.36	3.33	0.29			43.3
155.68			4.03	-1.27	43
156.01	3.34	0			42.8
156.33	3.28	-0.05	4.11	-1.17	42.9
156.64	3.38	-0.06			43.3
156.96	3.49	0.26	4.03	-1	41.8
157.28	3.4	-0.36	4.24	-0.99	42.9
157.59	3.12	-0.15			41
157.91	3.32	-0.36			43.3
158.22	3.41	-0.18	4.02	-1.23	43.8
158.54	3.17	-0.4	4.12	-1.07	45.6
158.86	3.18	-0.28	3.93	-1.02	42.9
159.17	2.92	0.03	3.93	-1.17	42.2
159.49	3.16	0.1	3.94	-1.07	42.5
159.81	3.33	-0.2	4.1	-1.04	42.7
160.12	3.1	-0.72	3.99	-0.85	41.4
160.44	2.98	-0.29	3.81	-1.12	40.9
160.75	2.95	-0.07	4.03	-0.98	43.4
161.07	2.88	-0.31	3.97	-0.76	44.3
161.39	3.04	-0.36	3.91	-0.85	40.6
161.7	3	-0.14	3.87	-0.67	39.1
162.01	2.81	-0.37			31.8
162.32	3.01	-0.22	3.7	-0.79	35
162.62	2.85	0.12			31.5
162.92	2.77	-0.13	3.91	-0.7	31.8
163.22	2.85	-0.55	3.87	-0.91	30.4
163.52	2.62	-0.35	3.82	-1.01	29.8
163.83	2.62	-0.52	3.9	-1.06	34.2
164.13	2.6	-0.54	3.81	-0.95	37.1
164.43	2.87	-0.37	3.74	-0.79	35.3
164.73	2.81	-0.25			34
165.03	2.87	0.17	3.8	-1.35	27.8
165.34	2.63	-0.52	3.74	-1.1	21.4
165.64	2.63	-0.29			21.7
165.94	2.71	-0.14			22.7
166.24	2.92	0.1			20.8
166.54	2.92	0.43	3.77	-1.18	22.3
166.85	2.63	-0.49			21.7
167.15	2.84	-0.44	3.77	-0.99	25.7
167.45	2.92	-0.04	3.83	-1.13	27.3
167.73	2.95	-0.05	3.82	-1.2	28.1
168.01			3.76	-0.79	32.2
168.3	2.79	0.03	3.81	-1.04	32.4
168.58	2.74	-0.3	3.79	-1.12	31.6
168.86	2.63	-0.33	3.81	-1.05	34
169.15	2.75	0.02	3.74	-1.29	33.8
169.43	2.78	0.27	3.79	-1.02	34.8
169.71	2.71	0.09	3.85	-1.05	36.5
169.99	2.67	-0.01	3.64	-1.06	34.6
170.28	2.84	0.22	3.67	-1.06	41.2
170.56	2.83	0.3	3.7	-0.97	44.1
170.84	2.78	0.1	3.74	-0.89	45.9
171.13	2.97	0.34	3.69	-0.76	46.8
171.41	2.94	0.14	3.77	-0.64	43.3
171.69	2.87	0.05	3.66	-0.75	43.6
172.04	2.67	0.38	3.43	-0.72	42.1
172.26	2.87	0.11	3.49	-0.75	38.9
172.54			3.49	-0.9	40.8
172.82	2.78	0.2	3.46	-0.94	39.2
173.11	2.77	-0.08	3.48	-0.77	42.7
173.39	2.61	-0.23	3.56	-1.14	43.8
173.68	2.8	-0.15	3.49	-0.99	45
173.96	2.91	0.31	3.72	-1.03	46.6
174.25	3.17	0	3.66	-0.79	46.9
174.53	3.13	0.22			43.3
174.82	3.03	0.02	3.55	-1.06	37.4
175.11	2.84	0.06	3.57	-0.82	33.9
175.39	2.4	0.34			35.4
175.68	2.45	-0.32			36.5
175.96	2.92	-0.34	3.67	-0.8	35.1
176.25	3.01	-0.54	3.63	-0.8	34.8
176.53	2.91	-0.05	3.7	-0.89	35.3
176.82	2.8	-0.43	3.73	-1.18	35.1
177.1	2.76	0	3.76	-1.2	33.9
177.39			3.77	-0.89	34.2
177.67			3.78	-1.1	28.8
177.96	3.16	-0.17	3.71	-1.12	31.2
178.25	3.13	-0.25			32.3
178.54	3.13	-0.41	3.76	-0.92	34.7
178.83	3.27	-0.25	3.73	-0.79	39
179.12	2.87	-0.31			41.5
179.41	3.23	-0.12	3.86	-0.77	44.3
179.7	3.48	-0.08			43.9
179.99	3.21	0.15	3.68	-0.96	43.1
180.3	2.62	0.01			46.1
180.6	2.97	-0.31			31.3
180.91	3.02	-0.18			23.2
181.2	2.65	-0.34			22.8
181.5	2.68	-0.12			22.2
181.8	2.7	-0.33			23.6
182.1	2.78	-0.36			23.4
182.39	2.9	-0.28			23
182.53	3.46	0.4	3.85	-1.09	20
182.82	3.07	-0.06	3.74	-0.85	21.1
183.11	3	0.05	3.8	-1.17	21.3
183.37	3.26	-0.16	3.79	-1.08	14.6
183.63	3.2	-0.35			12.5
183.88	3.12	-0.12	3.85	-0.94	14.8
184.14	2.98	0.09	3.74	-0.68	13.2
184.4	2.99	-0.25			10.8
184.65	2.74	-0.26	3.76	-1.32	10.1
184.91	2.86	-0.03	3.75	-0.88	7.8
185.17	3.16	0.02	3.71	-1.21	6.8
185.43	2.97	0.46	3.68	-1.19	7.5
185.68	3.05	-0.05			3.6
185.94	3	-0.14			3.9
186.2	2.58	-0.36			3.3
186.46	3.04	0.02	3.68	-1.19	1.3
186.71					2.2
186.97					1.6
187.23	2.44	0			2
187.48	3.02	0.13			3.3
187.74	2.63	-0.16			6.9
188.06	2.89	0.28	3.49	-0.64	5.5
