# DESCRIPTION:
# Reference: Barker, S., Knorr, G., Edwards, R. L., Parrenin, F., Putnam, A. E., Skinner, L. C., ... & Ziegler, M. (2011). 800,000 years of abrupt climate variability. science, 334(6054), 347-351, https://doi.org/10.1126/science.1203580
# Data from: https://doi.org/10.1126/science.1203580. Accessed 22 Nov 2022.
# Comment: Several variables from the original dataset are not included here.

EDC3 Age [kyr],GLT_syn δ18O [‰]
15.05,-40.14
15.1,-40.27
15.15,-40.45
15.2,-40.51
15.25,-40.37
15.3,-40.37
15.35,-40.5
15.4,-40.46
15.45,-40.57
15.5,-40.5
15.55,-40.48
15.6,-40.38
15.65,-40.49
15.7,-40.55
15.75,-40.74
15.8,-40.8
15.85,-40.83
15.9,-40.78
15.95,-41
16,-41.11
16.05,-41.14
16.1,-41.37
16.15,-41.61
16.2,-41.77
16.25,-41.73
16.3,-41.93
16.35,-41.93
16.4,-41.93
16.45,-41.98
16.5,-41.87
16.55,-41.88
16.6,-42.03
16.65,-41.95
16.7,-41.99
16.75,-42.05
16.8,-41.98
16.85,-41.77
16.9,-41.59
16.95,-41.68
17,-41.64
17.05,-41.6
17.1,-41.66
17.15,-41.56
17.2,-41.62
17.25,-41.55
17.3,-41.4
17.35,-41.3
17.4,-41.1
17.45,-40.91
17.5,-40.73
17.55,-40.64
17.6,-40.77
17.65,-40.72
17.7,-40.53
17.75,-40.46
17.8,-40.23
17.85,-40.12
17.9,-39.95
17.95,-39.92
18,-39.89
18.05,-39.93
18.1,-39.97
18.15,-40.04
18.2,-40.09
18.25,-40.02
18.3,-39.99
18.35,-39.87
18.4,-39.89
18.45,-39.93
18.5,-40.01
18.55,-39.9
18.6,-39.94
18.65,-39.94
18.7,-39.99
18.75,-40
18.8,-40.1
18.85,-40.12
18.9,-40.14
18.95,-40.43
19,-40.33
19.05,-40.27
19.1,-40.31
19.15,-40.2
19.2,-40.38
19.25,-40.75
19.3,-40.85
19.35,-40.8
19.4,-40.76
19.45,-40.66
19.5,-40.57
19.55,-40.45
19.6,-40.44
19.65,-40.23
19.7,-40.27
19.75,-40.52
19.8,-40.58
19.85,-40.69
19.9,-40.48
19.95,-40.18
20,-40.14
20.05,-40.22
20.1,-40.25
20.15,-40.4
20.2,-40.45
20.25,-40.55
20.3,-40.63
20.35,-40.67
20.4,-40.64
20.45,-40.38
20.5,-40.36
20.55,-40.49
20.6,-40.66
20.65,-40.71
20.7,-40.55
20.75,-40.43
20.8,-40.56
20.85,-40.52
20.9,-40.5
20.95,-40.57
21,-40.52
21.05,-40.51
21.1,-40.49
21.15,-40.59
21.2,-40.6
21.25,-40.39
21.3,-40.26
21.35,-40.36
21.4,-40.73
21.45,-41.03
21.5,-40.87
21.55,-40.83
21.6,-40.97
21.65,-40.89
21.7,-40.73
21.75,-40.77
21.8,-40.91
21.85,-41.02
21.9,-41.07
21.95,-41.21
22,-41.27
22.05,-41.25
22.1,-41.03
22.15,-40.8
22.2,-40.86
22.25,-40.99
22.3,-40.81
22.35,-40.7
22.4,-40.88
22.45,-40.8
22.5,-40.72
22.55,-40.69
22.6,-40.6
22.65,-40.63
22.7,-40.6
22.75,-40.51
22.8,-40.49
22.85,-40.46
22.9,-40.37
22.95,-40.18
23,-40.23
23.05,-40.45
23.1,-40.54
23.15,-40.89
23.2,-41.08
23.25,-41.15
23.3,-41.26
23.35,-41.23
23.4,-41.38
23.45,-41.52
23.5,-41.6
23.55,-41.74
23.6,-41.9
23.65,-42.11
23.7,-42.31
23.75,-42.36
23.8,-42.17
23.85,-41.75
23.9,-41.54
23.95,-41.51
24,-41.53
24.05,-41.46
24.1,-41.34
24.15,-41.3
24.2,-41.36
24.25,-41.41
24.3,-41.35
24.35,-41.32
24.4,-41.19
24.45,-40.99
24.5,-41.18
24.55,-41.51
24.6,-41.65
24.65,-41.64
24.7,-41.56
24.75,-41.54
24.8,-41.55
24.85,-41.55
24.9,-41.46
24.95,-41.37
25,-41.33
25.05,-41.29
25.1,-41.3
25.15,-41.39
25.2,-41.4
25.25,-41.18
25.3,-40.98
25.35,-40.88
25.4,-40.77
25.45,-40.82
25.5,-40.83
25.55,-40.76
25.6,-40.84
25.65,-40.93
25.7,-40.92
25.75,-40.83
25.8,-40.76
25.85,-40.72
25.9,-40.56
25.95,-40.77
26,-40.95
26.05,-40.96
26.1,-41.07
26.15,-41.05
26.2,-41.05
26.25,-41.17
26.3,-41.04
26.35,-40.91
26.4,-41
26.45,-41.08
26.5,-41.08
26.55,-40.99
26.6,-40.84
26.65,-40.43
26.7,-40.05
26.75,-40.03
26.8,-39.97
26.85,-39.98
26.9,-39.97
26.95,-39.7
27,-39.5
27.05,-39.34
27.1,-39.15
27.15,-39.06
27.2,-39.04
27.25,-39.15
27.3,-39.51
27.35,-40.06
27.4,-40.59
27.45,-40.68
27.5,-40.85
27.55,-40.87
27.6,-40.76
27.65,-40.98
27.7,-41.34
27.75,-41.5
27.8,-41.56
27.85,-41.55
27.9,-41.6
27.95,-41.61
28,-41.4
28.05,-41
28.1,-40.7
28.15,-40.64
28.2,-40.36
28.25,-40.21
28.3,-40.23
28.35,-40.16
28.4,-40.04
28.45,-40.1
28.5,-40.1
28.55,-40.07
28.6,-40.02
28.65,-39.84
28.7,-39.79
28.75,-39.91
28.8,-39.93
28.85,-39.84
28.9,-39.97
28.95,-40.05
29,-40.07
29.05,-40.05
29.1,-40.15
29.15,-40.32
29.2,-40.59
29.25,-40.93
29.3,-41.18
29.35,-41.51
29.4,-41.68
29.45,-41.75
29.5,-41.88
29.55,-42.04
29.6,-42.16
29.65,-42.35
29.7,-42.51
29.75,-42.68
29.8,-42.65
29.85,-42.39
29.9,-42.12
29.95,-41.81
30,-41.5
30.05,-41.3
30.1,-41.14
30.15,-40.9
30.2,-40.64
30.25,-40.56
30.3,-40.4
30.35,-40.19
30.4,-40.19
30.45,-40.16
30.5,-40.13
30.55,-40.22
30.6,-40.38
30.65,-40.53
30.7,-40.65
30.75,-40.69
30.8,-40.77
30.85,-41.08
30.9,-41.45
30.95,-41.62
31,-41.82
31.05,-41.81
31.1,-41.45
31.15,-41.19
31.2,-41.06
31.25,-40.74
31.3,-40.33
31.35,-39.93
31.4,-39.79
31.45,-39.7
31.5,-39.6
31.55,-39.31
31.6,-38.98
31.65,-38.61
31.7,-38.23
31.75,-38.35
31.8,-38.61
31.85,-38.71
31.9,-38.88
31.95,-39.44
32,-39.99
32.05,-40.59
32.1,-40.92
32.15,-41.1
32.2,-41.24
32.25,-41.41
32.3,-41.63
32.35,-41.87
32.4,-42.1
32.45,-41.94
32.5,-41.86
32.55,-41.86
32.6,-41.59
32.65,-41
32.7,-40.56
32.75,-40.09
32.8,-39.68
32.85,-39.37
32.9,-39.19
32.95,-39
33,-38.9
33.05,-38.86
33.1,-38.94
33.15,-39.24
33.2,-39.55
33.25,-39.83
33.3,-40.25
33.35,-40.81
33.4,-41.16
33.45,-41.44
33.5,-41.68
33.55,-41.97
33.6,-42.23
33.65,-42.57
33.7,-42.57
33.75,-42.56
33.8,-42.37
33.85,-42.01
33.9,-41.49
33.95,-41.06
34,-40.56
34.05,-40.06
34.1,-39.72
34.15,-39.39
34.2,-39.2
34.25,-38.95
34.3,-38.61
34.35,-38.11
34.4,-37.89
34.45,-37.89
34.5,-37.94
34.55,-37.95
34.6,-38.17
34.65,-38.35
34.7,-38.66
34.75,-38.89
34.8,-38.93
34.85,-39.26
34.9,-39.49
34.95,-39.56
35,-39.71
35.05,-40.08
35.1,-40.44
35.15,-40.48
35.2,-40.65
35.25,-40.91
35.3,-41.01
35.35,-41.03
35.4,-40.95
35.45,-41.06
35.5,-41.41
35.55,-41.32
35.6,-41.18
35.65,-41.23
35.7,-41.28
35.75,-41.2
35.8,-41
35.85,-40.92
35.9,-40.62
35.95,-40.51
36,-40.45
36.05,-40.43
36.1,-40.49
36.15,-40.36
36.2,-40.12
36.25,-40.03
36.3,-39.91
36.35,-39.74
36.4,-39.7
36.45,-39.67
36.5,-39.65
36.55,-39.53
36.6,-39.63
36.65,-39.46
36.7,-39.36
36.75,-39.26
36.8,-39.07
36.85,-38.83
36.9,-38.56
36.95,-38.3
37,-38.29
37.05,-38.26
37.1,-38.02
37.15,-37.61
37.2,-37.44
37.25,-37.61
37.3,-37.65
37.35,-37.81
37.4,-37.65
37.45,-37.59
37.5,-37.67
37.55,-37.98
37.6,-38.25
37.65,-38.64
37.7,-38.85
37.75,-39.18
37.8,-39.57
37.85,-40.22
37.9,-40.51
37.95,-40.39
38,-40.31
38.05,-40.26
38.1,-40.7
38.15,-40.85
38.2,-40.84
38.25,-40.63
38.3,-40.74
38.35,-40.69
38.4,-40.62
38.45,-40.56
38.5,-40.55
38.55,-40.53
38.6,-40.71
38.65,-41.03
38.7,-41.31
38.75,-41.46
38.8,-41.37
38.85,-41.67
38.9,-42.07
38.95,-42.57
39,-42.69
39.05,-42.82
39.1,-43.17
39.15,-43.16
39.2,-43.09
39.25,-42.85
39.3,-42.58
39.35,-42.28
39.4,-42.08
39.45,-41.92
39.5,-41.78
39.55,-41.44
39.6,-41.02
39.65,-40.52
39.7,-40.11
39.75,-39.77
39.8,-39.25
39.85,-39.22
39.9,-39.24
39.95,-39.39
40,-39.54
40.05,-39.78
40.1,-39.85
40.15,-39.96
40.2,-40.14
40.25,-40.17
40.3,-40.2
40.35,-40.29
40.4,-40.52
40.45,-40.77
40.5,-40.98
40.55,-40.68
40.6,-40.36
40.65,-40.07
40.7,-39.81
40.75,-39.57
40.8,-39.35
40.85,-39.25
40.9,-39
40.95,-38.93
41,-39.02
41.05,-39.09
41.1,-39.17
41.15,-39.17
41.2,-39.21
41.25,-39.72
41.3,-40.18
41.35,-40.52
41.4,-40.83
41.45,-40.99
41.5,-41.29
41.55,-41.41
41.6,-41.49
41.65,-41.48
41.7,-41.44
41.75,-41.39
41.8,-41.12
41.85,-40.88
41.9,-40.74
41.95,-40.33
42,-39.97
42.05,-39.7
42.1,-39.35
42.15,-39.06
42.2,-38.71
42.25,-38.37
42.3,-38.25
42.35,-38.2
42.4,-37.99
42.45,-37.85
42.5,-37.96
42.55,-38.02
42.6,-38.03
42.65,-38.17
42.7,-38.13
42.75,-38.05
42.8,-38.17
42.85,-38.38
42.9,-38.69
42.95,-39.01
43,-39.22
43.05,-39.4
43.1,-39.7
43.15,-40.07
43.2,-40.27
43.25,-40.49
43.3,-40.55
43.35,-40.65
43.4,-41.08
43.45,-41.45
43.5,-41.67
43.55,-41.77
43.6,-41.74
43.65,-41.77
43.7,-41.7
43.75,-41.56
43.8,-41.53
43.85,-41.35
43.9,-41.14
43.95,-41.02
44,-40.97
44.05,-40.73
44.1,-40.34
44.15,-40.05
44.2,-39.74
44.25,-39.44
44.3,-39.21
44.35,-39.01
44.4,-38.94
44.45,-38.96
44.5,-38.69
44.55,-38.44
44.6,-38.28
44.65,-38.03
44.7,-37.89
44.75,-37.87
44.8,-37.83
44.85,-37.79
44.9,-37.64
44.95,-37.67
45,-37.62
45.05,-37.53
45.1,-37.37
45.15,-37.21
45.2,-37.26
45.25,-37.18
45.3,-37.12
45.35,-37.25
45.4,-37.38
45.45,-37.36
45.5,-37.4
45.55,-37.43
45.6,-37.75
45.65,-37.82
45.7,-37.9
45.75,-37.91
45.8,-37.98
45.85,-37.98
45.9,-38.07
45.95,-38.42
46,-38.69
46.05,-38.67
46.1,-38.7
46.15,-39
46.2,-39.18
46.25,-39.23
46.3,-39.22
46.35,-39.31
46.4,-39.52
46.45,-39.88
46.5,-40.27
46.55,-40.7
46.6,-40.73
46.65,-40.85
46.7,-41.01
46.75,-41.3
46.8,-41.35
46.85,-41.23
46.9,-41.2
46.95,-41.36
47,-41.33
47.05,-41.3
47.1,-41.24
47.15,-41.13
47.2,-40.95
47.25,-40.86
47.3,-41.3
47.35,-41.33
47.4,-41.3
47.45,-41.31
47.5,-41.44
47.55,-41.5
47.6,-41.56
47.65,-41.43
47.7,-41.44
47.75,-41.49
47.8,-41.44
47.85,-41.3
47.9,-41.4
47.95,-41.3
48,-40.65
48.05,-40.4
48.1,-40.25
48.15,-39.91
48.2,-39.56
48.25,-39.35
48.3,-39.17
48.35,-39.21
48.4,-39.31
48.45,-39.42
48.5,-39.46
48.55,-39.59
48.6,-39.38
48.65,-39.34
48.7,-39.63
48.75,-39.62
48.8,-39.51
48.85,-39.56
48.9,-39.73
48.95,-39.96
49,-39.94
49.05,-39.79
49.1,-39.65
49.15,-39.32
49.2,-39.19
49.25,-39.07
49.3,-39.12
49.35,-39.01
49.4,-38.77
49.45,-38.69
49.5,-38.65
49.55,-38.7
49.6,-38.71
49.65,-38.6
49.7,-38.74
49.75,-38.83
49.8,-38.59
49.85,-38.75
49.9,-38.87
49.95,-38.93
50,-38.73
50.05,-38.72
50.1,-38.93
50.15,-39.04
50.2,-39.27
50.25,-39.33
50.3,-39.2
50.35,-39.12
50.4,-39.13
50.45,-39.19
50.5,-39.6
50.55,-39.63
50.6,-39.51
50.65,-39.35
50.7,-39.57
50.75,-39.66
50.8,-39.48
50.85,-39.4
50.9,-39.2
50.95,-39.1
51,-39.23
51.05,-39.25
51.1,-39
51.15,-38.72
51.2,-38.42
51.25,-38.25
51.3,-38.13
51.35,-38.02
51.4,-37.81
51.45,-37.65
51.5,-37.8
51.55,-37.93
51.6,-38.02
51.65,-37.99
51.7,-37.89
51.75,-37.86
51.8,-37.99
51.85,-38.31
51.9,-38.36
51.95,-38.41
52,-38.67
52.05,-39.03
52.1,-39.07
52.15,-39.24
52.2,-39.1
52.25,-39.06
52.3,-39.04
52.35,-38.95
52.4,-38.82
52.45,-38.88
52.5,-38.81
52.55,-38.51
52.6,-38.42
52.65,-38.37
52.7,-38.13
52.75,-37.83
52.8,-38.01
52.85,-38.03
52.9,-38.1
52.95,-38.1
53,-38.16
53.05,-38.51
53.1,-38.78
53.15,-38.79
53.2,-38.97
53.25,-39.32
53.3,-39.64
53.35,-39.97
53.4,-40.39
53.45,-40.74
53.5,-40.69
53.55,-40.6
53.6,-40.54
53.65,-40.53
53.7,-40.47
53.75,-40.31
53.8,-40.44
53.85,-40.61
53.9,-40.7
53.95,-40.72
54,-40.73
54.05,-40.63
54.1,-40.43
54.15,-40.23
54.2,-40.31
54.25,-40.46
54.3,-40.59
54.35,-40.52
54.4,-40.52
54.45,-40.4
54.5,-40.09
54.55,-39.86
54.6,-39.62
54.65,-39.3
54.7,-39.07
54.75,-38.89
54.8,-38.78
54.85,-38.89
54.9,-38.86
54.95,-38.87
55,-39.08
55.05,-39.41
55.1,-39.52
55.15,-39.74
55.2,-40.01
55.25,-40.25
55.3,-40.46
55.35,-40.76
55.4,-40.88
55.45,-40.98
55.5,-41.06
55.55,-40.94
55.6,-40.92
55.65,-40.81
55.7,-40.4
55.75,-39.98
55.8,-39.82
55.85,-39.62
55.9,-39.26
55.95,-38.91
56,-38.71
56.05,-38.43
56.1,-38.16
56.15,-37.95
56.2,-37.86
56.25,-37.74
56.3,-37.56
56.35,-37.41
56.4,-37.46
56.45,-37.41
56.5,-37.25
56.55,-37.1
56.6,-37.15
56.65,-37.13
56.7,-37.27
56.75,-37.33
56.8,-37.44
56.85,-37.57
56.9,-37.67
56.95,-37.88
57,-37.87
57.05,-38.04
57.1,-38.26
57.15,-38.67
57.2,-38.99
57.25,-39.34
57.3,-39.55
57.35,-39.72
57.4,-39.43
57.45,-39.39
57.5,-39.44
57.55,-39.33
57.6,-39.19
57.65,-38.96
57.7,-39.08
57.75,-38.97
57.8,-38.7
57.85,-38.28
57.9,-37.95
57.95,-37.71
58,-37.57
58.05,-37.48
58.1,-37.71
58.15,-37.79
58.2,-37.89
58.25,-38.16
58.3,-38.32
58.35,-38.58
58.4,-38.64
58.45,-38.71
58.5,-38.91
58.55,-39.14
58.6,-39.56
58.65,-39.89
58.7,-40.14
58.75,-40.29
58.8,-40.31
58.85,-40.42
58.9,-40.41
58.95,-40.32
59,-40.45
59.05,-40.49
59.1,-40.48
59.15,-40.57
59.2,-40.43
59.25,-40.65
59.3,-40.55
59.35,-40.36
59.4,-40.17
59.45,-40.35
59.5,-40.58
59.55,-40.58
59.6,-40.63
59.65,-40.78
59.7,-40.65
59.75,-40.5
59.8,-40.69
59.85,-40.78
59.9,-40.93
59.95,-40.68
60,-40.64
60.05,-40.7
60.1,-40.8
60.15,-40.64
60.2,-40.35
60.25,-40.21
60.3,-40.2
60.35,-40.09
60.4,-40.02
60.45,-40.13
60.5,-39.94
60.55,-39.86
60.6,-39.99
60.65,-40.24
60.7,-40.25
60.75,-40.34
60.8,-40.32
60.85,-40.24
60.9,-40.43
60.95,-40.66
61,-40.65
61.05,-40.6
61.1,-40.8
61.15,-40.83
61.2,-41.02
61.25,-41.15
61.3,-41.18
61.35,-41.19
61.4,-41.29
61.45,-41.17
61.5,-41.21
61.55,-41.41
61.6,-41.48
61.65,-41.49
61.7,-41.61
61.75,-41.73
61.8,-41.67
61.85,-41.73
61.9,-41.66
61.95,-41.58
62,-41.41
62.05,-41.19
62.1,-41.17
62.15,-41.36
62.2,-41.46
62.25,-41.38
62.3,-41.23
62.35,-41.2
62.4,-41.2
62.45,-41.31
62.5,-41.46
62.55,-41.38
62.6,-41.32
62.65,-41.3
62.7,-41.4
62.75,-41.55
62.8,-41.48
62.85,-41.19
62.9,-40.75
62.95,-40.42
63,-40.32
63.05,-39.9
63.1,-39.49
63.15,-39.19
63.2,-38.82
63.25,-38.51
63.3,-38.22
63.35,-37.98
63.4,-37.8
63.45,-37.7
63.5,-37.66
63.55,-37.79
63.6,-38.35
63.65,-38.96
63.7,-39.2
63.75,-39.68
63.8,-40.06
63.85,-40.27
63.9,-40.6
63.95,-41
64,-41.52
64.05,-41.86
64.1,-42.05
64.15,-42.09
64.2,-42.19
64.25,-42.21
64.3,-41.91
64.35,-41.41
64.4,-41.17
64.45,-41.14
64.5,-41.07
64.55,-40.94
64.6,-40.85
64.65,-40.71
64.7,-40.47
64.75,-40.47
64.8,-40.39
64.85,-40.35
64.9,-40.37
64.95,-40.32
65,-40.39
65.05,-40.76
65.1,-41.1
65.15,-41.04
65.2,-41
65.25,-41.13
65.3,-41.17
65.35,-41.28
65.4,-41.33
65.45,-41.21
65.5,-41.26
65.55,-41.36
65.6,-41.29
65.65,-41.37
65.7,-41.35
65.75,-41.14
65.8,-40.8
65.85,-40.59
65.9,-40.66
65.95,-40.56
66,-40.37
66.05,-40.15
66.1,-40.06
66.15,-40.05
66.2,-39.87
66.25,-39.68
66.3,-39.71
66.35,-39.69
66.4,-39.68
66.45,-39.76
66.5,-39.98
66.55,-40.29
66.6,-40.2
66.65,-40.24
66.7,-40.42
66.75,-40.58
66.8,-40.6
66.85,-40.55
66.9,-40.59
66.95,-40.69
67,-40.65
67.05,-40.59
67.1,-40.55
67.15,-40.25
67.2,-40.06
67.25,-39.82
67.3,-39.7
67.35,-39.65
67.4,-39.63
67.45,-39.63
67.5,-39.69
67.55,-39.87
67.6,-40.06
67.65,-39.93
67.7,-39.8
67.75,-39.64
67.8,-39.51
67.85,-39.82
67.9,-39.81
67.95,-39.82
68,-39.96
68.05,-39.96
68.1,-39.92
68.15,-39.8
68.2,-39.65
68.25,-39.49
68.3,-39.48
68.35,-39.77
68.4,-40.1
68.45,-40.48
68.5,-40.79
68.55,-40.89
68.6,-41.14
68.65,-41.34
68.7,-41.33
68.75,-41.25
68.8,-41.13
68.85,-41.12
68.9,-41.14
68.95,-40.99
69,-40.54
69.05,-40.14
69.1,-39.69
69.15,-39.26
69.2,-38.96
69.25,-38.59
69.3,-38.21
69.35,-37.88
69.4,-37.72
69.45,-37.81
69.5,-37.7
69.55,-37.49
69.6,-37.35
69.65,-37.35
69.7,-37.61
69.75,-37.71
69.8,-37.8
69.85,-37.67
69.9,-37.48
69.95,-37.4
70,-37.29
70.05,-37.16
70.1,-37.01
70.15,-36.78
70.2,-36.84
70.25,-37.05
70.3,-37.26
70.35,-37.43
70.4,-37.41
70.45,-37.55
70.5,-37.71
70.55,-38.13
70.6,-38.44
70.65,-38.82
70.7,-39.35
70.75,-39.92
70.8,-40.37
70.85,-40.73
70.9,-40.93
70.95,-40.97
71,-40.82
71.05,-40.86
71.1,-41.06
71.15,-41.04
71.2,-41.07
71.25,-41.08
71.3,-41.22
71.35,-41.19
71.4,-41.01
71.45,-40.82
71.5,-40.68
71.55,-40.66
71.6,-40.79
71.65,-40.97
71.7,-41.33
71.75,-41.52
71.8,-41.53
71.85,-41.69
71.9,-41.86
71.95,-41.91
72,-41.83
72.05,-41.81
72.1,-41.76
72.15,-41.66
72.2,-41.62
72.25,-41.47
72.3,-41.27
72.35,-40.9
72.4,-40.36
72.45,-39.87
72.5,-39.5
72.55,-39.15
72.6,-38.73
72.65,-38.31
72.7,-38.08
72.75,-37.86
72.8,-37.75
72.85,-37.51
72.9,-37.38
72.95,-37.27
73,-37.08
73.05,-37.15
73.1,-37.36
73.15,-37.53
73.2,-37.64
73.25,-37.47
73.3,-37.42
73.35,-37.51
73.4,-37.42
73.45,-37.32
73.5,-37.18
73.55,-37.25
73.6,-37.18
73.65,-37.16
73.7,-37.17
73.75,-37.1
73.8,-36.84
73.85,-36.58
73.9,-36.47
73.95,-36.73
74,-36.92
74.05,-37.03
74.1,-37.23
74.15,-37.5
74.2,-37.76
74.25,-38.05
74.3,-38.22
74.35,-38.47
74.4,-38.8
74.45,-39.09
74.5,-39.55
74.55,-40.16
74.6,-40.58
74.65,-40.88
74.7,-41.1
74.75,-41.28
74.8,-41.44
74.85,-41.51
74.9,-41.65
74.95,-41.63
75,-41.86
75.05,-41.82
75.1,-41.8
75.15,-41.93
75.2,-41.98
75.25,-41.85
75.3,-41.72
75.35,-41.57
75.4,-41.38
75.45,-41.18
75.5,-41.14
75.55,-41.07
75.6,-40.87
75.65,-40.66
75.7,-40.28
75.75,-40.22
75.8,-39.98
75.85,-39.5
75.9,-39.12
75.95,-38.82
76,-38.65
76.05,-38.58
76.1,-38.65
76.15,-38.69
76.2,-38.48
76.25,-38.33
76.3,-38.23
76.35,-38.27
76.4,-38.37
76.45,-38.19
76.5,-38.1
76.55,-38.2
76.6,-38.24
76.65,-38.29
76.7,-38.23
76.75,-38.11
76.8,-38.01
76.85,-37.94
76.9,-37.97
76.95,-38.11
77,-38.32
77.05,-38.47
77.1,-38.55
77.15,-38.68
77.2,-38.9
77.25,-39.11
77.3,-39.22
77.35,-39.33
77.4,-39.46
77.45,-39.53
77.5,-39.38
77.55,-39.32
77.6,-39.43
77.65,-39.34
77.7,-39.01
77.75,-38.69
77.8,-38.53
77.85,-38.45
77.9,-38.24
77.95,-37.98
78,-37.81
78.05,-37.63
78.1,-37.4
78.15,-37.32
78.2,-37.46
78.25,-37.49
78.3,-37.21
78.35,-37.17
78.4,-37.41
78.45,-37.6
78.5,-37.64
78.55,-37.62
78.6,-37.71
78.65,-37.72
78.7,-37.74
78.75,-37.87
78.8,-38.06
78.85,-38.11
78.9,-38.06
78.95,-38.09
79,-38.17
79.05,-37.88
79.1,-37.69
79.15,-37.65
79.2,-37.65
79.25,-37.72
79.3,-37.74
79.35,-37.91
79.4,-38.01
79.45,-37.93
79.5,-37.75
79.55,-37.73
79.6,-37.71
79.65,-37.67
79.7,-37.72
79.75,-38.15
79.8,-38.28
79.85,-38.27
79.9,-38.24
79.95,-38.09
80,-37.93
80.05,-37.85
80.1,-37.81
80.15,-37.83
80.2,-38.09
80.25,-38.05
80.3,-38.16
80.35,-38.21
80.4,-38.31
80.45,-38.22
80.5,-38.26
80.55,-38.31
80.6,-38.32
80.65,-38.37
80.7,-38.49
80.75,-38.54
80.8,-38.59
80.85,-38.59
80.9,-38.34
80.95,-38.33
81,-38.1
81.05,-37.8
81.1,-37.57
81.15,-37.34
81.2,-37.07
81.25,-36.89
81.3,-36.93
81.35,-37.04
