/* DESCRIPTION:
Reference:	Voelker, AHL; de Abreu, L (2011): A Review of Abrupt Climate Change Events in the Northeastern Atlantic Ocean (Iberian Margin): Latitudinal, Longitudinal and Vertical Gradients. In: Rashid, H; Polyak, L; Mosley-Thompson, E (eds.), Abrupt Climate Change: Mechanisms, Patterns, and Impacts. Geophysical Monograph Series (AGU, Washington D.C.), 193, 15-37, https://doi.org/10.1029/2010GM001021
Data from:	https://doi.org/10.1594/PANGAEA.737159. Accessed 11 Nov 2022.
Comment:	Data was not modified in any way.
*/
Depth [m]	Age [ka BP]	G. bulloides δ18O [‰ PDB]	G. bulloides δ13C [‰ PDB]
17.5	206.33	0.96	-0.74
17.52	206.57	0.92	-0.85
17.54	206.81	1.38	-0.35
17.56	207.05	1.09	-0.52
17.58	207.29	0.79	-0.74
17.6	207.54	0.6	-1.11
17.62	207.78	0.65	-0.89
17.64	208.02	0.77	-0.75
17.66	208.26	0.7	-0.79
17.68	208.5	0.69	-0.83
17.7	208.75	0.76	-0.62
17.72	208.99	0.99	-0.6
17.74	209.23	0.57	-0.85
17.76	209.47	0.72	-0.69
17.78	209.71	0.24	-0.98
17.8	209.95	0.56	-0.83
17.82	210.2	0.51	-0.69
17.84	210.44	0.55	-0.66
17.86	210.68	0.12	-1
17.88	210.92	0.36	-0.88
17.9	211.16	0.86	-0.83
17.92	211.4	0.86	-0.51
17.94	211.65	0.69	-0.85
17.96	211.89	0.59	-0.89
17.98	212.13	0.7	-0.89
18	212.37	0.65	-1.27
18.02	212.61	0.9	-0.8
18.04	212.85	0.67	-1.05
18.06	213.1	0.67	-0.98
18.08	213.34	1.1	-0.83
18.1	213.58	0.72	-1.02
18.12	213.82	0.72	-0.78
18.14	214.06	0.7	-1.09
18.16	214.31	0.81	-0.87
18.18	214.55	0.54	-0.88
18.2	214.79	0.86	-1.05
18.21	214.91	0.68	-1.02
18.22	215.03	1.01	-0.87
18.23	215.15	0.96	-0.86
18.24	215.27	1.24	-1.01
18.25	215.39	0.94	-0.94
18.26	215.51	1.26	-0.82
18.27	215.84	1.25	0.11
18.28	216.16	1.53	-0.93
18.29	216.49	1.21	-0.99
18.3	216.81	2.17	-0.35
18.31	217.13	2.07	-0.38
18.32	217.45	1.82	-0.5
18.33	217.78	2.29	-0.43
18.34	218.1	1.9	-0.71
18.35	218.43	1.83	-0.8
18.36	218.75	2	-0.61
18.37	219.07	2.11	-0.62
18.38	219.39	1.96	-0.83
18.39	219.72	2.05	-0.66
18.4	220.04	2.06	-0.7
18.41	220.37	2.26	-0.7
18.42	220.69	2.31	-0.52
18.43	221.01	2.2	-0.73
18.44	221.33	1.61	-0.65
18.45	221.66	1.54	-0.58
18.46	221.98	2.1	-0.58
18.47	222.31	2.41	-0.61
18.48	222.63	1.88	-0.6
18.49	222.95	1.69	-0.69
18.5	223.27	1.7	-0.6
18.52	223.92	1.52	-0.49
18.54	224.56	1.32	-0.59
18.56	225.21	1.16	-0.85
18.58	225.86	1.44	-0.88
18.6	226.5	1.42	-0.95
18.62	227.15	1.62	-0.51
18.64	227.8	1.51	-0.56
18.66	228.44	1.41	-0.54
18.68	229.09	1.25	-0.99
18.7	229.74	1.47	-0.46
18.72	230.21	1.41	-0.54
18.74	230.69	1.2	-0.58
18.76	231.17	1.32	-0.26
18.78	231.64	1.04	-0.8
18.8	232.12	1.14	-0.88
18.82	232.59	0.94	-1.16
18.84	233.07	1.47	-0.61
18.86	233.55	1.01	-0.89
18.88	234.02	0.87	-0.9
18.9	234.5	0.92	-0.88
18.92	234.98	0.92	-0.8
18.94	235.45	1.22	-0.57
18.96	235.93	0.59	-0.92
18.98	236.41	0.81	-0.82
19	236.88	0.9	-0.9
19.02	237.36	0.58	-1.12
19.04	237.84	0.7	-1.04
19.06	238.31	0.63	-1.1
19.1	239.26	0.76	-0.96
19.12	239.74	1.34	-0.21
19.14	240.22	0.67	-0.79
19.16	240.69	0.73	-1.07
19.18	241.17	0.62	-1.16
19.2	241.65	1.05	-0.85
19.22	242.12	1.25	-0.75
19.24	242.6	1.18	-0.88
19.26	243.08	1.61	-0.82
19.28	243.55	1.68	-0.67
19.3	244.03	1.47	-1.21
19.32	244.51	1.69	-0.84
19.34	245.11	1.76	-0.74
19.36	245.71	1.91	-0.9
19.38	246.32	2.14	-1.08
19.4	246.92	2.62	-0.85
19.42	247.52	1.77	0.02
19.44	247.87	1.88	-0.79
19.46	248.21	2.2	-1.04
19.48	248.55	2.09	-0.98
19.5	248.9	2.24	-0.99
19.52	249.24	1.98	-0.97
19.54	249.58	1.94	-0.96
19.56	249.93	1.93	-0.95
19.58	250.27	1.82	-1.09
19.6	250.61	2.05	-0.9
19.62	250.96	1.96	-0.71
19.64	251.3	1.83	-1.13
19.66	251.64	1.92	-1.05
19.68	251.99	1.85	-1.05
19.7	252.33	1.68	-1.54
19.72	252.67	2.26	-1.02
19.74	253.02	1.95	-1.22
19.76	253.36	1.9	-0.84
19.78	253.7	1.96	-0.99
19.8	254.05	2.07	-0.78
19.82	254.39	1.7	-1.06
19.84	254.73	1.79	-0.84
19.86	255.08	1.78	-0.76
19.88	255.42	1.96	-0.83
19.9	255.76	1.93	-0.77
19.92	256.11	2.01	-0.69
19.94	256.45	1.96	-0.84
20	257.48	1.71	-0.84
20.02	257.82	1.84	-0.98
20.04	258.17	1.96	-0.84
20.06	258.51	2.04	-0.89
20.08	258.85	2.08	-0.95
20.1	259.2	2.16	-1.01
20.16	260.23	2.03	-1.1
20.18	260.57	2.05	-1.06
20.2	260.91	1.91	-1.1
20.22	261.26	2.16	-1.14
20.24	261.6	2.11	-1.23
20.26	261.94	1.93	-1.24
20.28	262.29	2.28	-1.14
20.3	262.63	1.78	-1.38
20.32	262.97	1.61	-1.43
20.34	263.32	1.78	-1.38
20.36	263.65	1.84	-1.24
20.38	263.98	2	-1.27
20.4	264.31	2.44	-1.25
20.42	264.64	2.63	-1.24
20.44	264.98	2.28	-1.09
20.46	265.31	2.7	-1.11
20.48	265.64	2.98	-1.17
20.5	265.97	2.43	-1.16
20.52	266.3	2.82	-1.1
20.54	266.64	2.87	-1.23
20.56	266.97	1.73	-1.23
20.58	267.3	2.97	-1.06
20.6	267.63	2.72	-1.33
20.62	267.97	2.75	-1.35
20.64	268.3	2.72	-1.16
20.66	268.63	2.49	-1.29
20.68	268.96	2.29	-1.28
20.7	269.29	2.44	-1.03
20.72	269.63	2.26	-1.33
20.74	269.96	2.42	-1.45
20.76	270.29	2.4	-1.1
20.78	270.62	2.32	-1.19
20.8	270.95	2.38	-0.85
20.82	271.29	2.27	-1.22
20.84	271.62	1.98	-1.35
20.86	271.95	1.86	-1.23
20.88	272.28	1.88	-1.3
20.9	272.62	2.18	-0.92
20.92	272.95	2.76	-0.68
20.94	273.28	2.26	-1.04
20.96	273.61	1.62	-0.69
20.98	273.94	2.19	-1.26
21	274.28	2.2	-0.69
21.02	274.61	1.74	-1.48
21.04	274.94	1.74	-1.55
21.06	275.27	1.89	-0.66
21.08	275.6	1.76	-0.87
21.1	275.94	1.56	-0.86
21.12	276.27	1.98	-0.4
21.14	276.6	1.69	-0.62
21.16	276.93	1.67	-0.71
21.18	277.27	1.64	-0.61
21.2	277.6	1.45	-0.53
21.22	277.93	1.64	-0.64
21.24	278.26	1.66	-0.35
21.26	278.59	1.51	-0.43
21.28	278.93	1.18	-0.76
21.3	279.26	1.16	-0.38
21.32	279.59	1.6	-0.14
21.34	279.92	1.49	-0.09
21.36	280.26	1.38	-0.4
21.38	280.59	1.46	-0.53
21.4	280.92	1.7	-0.36
21.42	281.25	1.63	-0.51
21.44	281.58	1.61	-0.55
21.46	281.92	1.21	-0.71
21.48	282.25	1.51	-0.36
21.5	282.58	1.13	-0.96
21.52	282.91	1.34	-0.42
21.54	283.24	1.13	-0.68
21.56	283.58	1.18	-0.59
21.58	283.91	1.18	-0.7
21.6	284.24	1.1	-0.69
21.62	284.57	1.13	-0.74
21.64	284.91	1.31	-0.5
21.68	285.57	1.1	-0.49
21.7	285.9	0.96	-0.91
21.72	286.23	0.97	-0.63
21.74	286.57	1.03	-0.4
21.76	286.9	1.14	-0.72
21.78	287.23	1.08	-0.78
21.8	287.56	1.04	-0.92
21.82	287.89	1.1	-0.59
21.84	288.23	1.25	-0.61
21.86	288.56	1.38	-0.62
21.88	288.89	1.13	-0.6
21.9	289.22	1.08	-0.88
21.92	289.56	1.21	-0.71
21.94	289.89	1.4	-0.73
21.96	290.22	1.53	-0.71
21.98	290.61	2.01	-0.67
22	290.99	1.76	-0.82
22.02	291.38	1.25	-0.36
22.04	291.77	1.8	-0.61
22.06	292.15	1.82	-0.64
22.08	292.54	1.6	-0.64
22.1	292.92	1.48	-1.03
22.12	293.31	1.56	-0.88
22.14	293.7	1.59	-1
22.16	294.08	1.87	-0.74
22.18	294.47	1.87	-0.88
22.2	294.86	1.94	-0.36
22.22	295.24	1.65	-0.67
22.24	295.63	1.62	-0.54
22.26	296.01	1.68	-0.6
22.28	296.4	1.44	-0.96
22.3	296.79	1.47	-0.6
22.32	297.17	1.46	-0.61
22.34	297.56	1.62	-0.76
22.36	297.95	1.44	-0.69
22.38	298.33	1.37	-0.53
22.4	298.72	1.57	-0.68
22.42	299.1	2.22	-0.4
22.44	299.49	1.9	-0.75
22.46	299.88	1.59	-0.62
22.48	300.26	1.56	-0.66
22.5	300.65	1.28	-0.83
22.52	301.04	1.47	-0.57
22.54	301.42	1.39	-0.54
22.56	301.81	1.34	-0.52
22.58	302.19	1.29	-0.43
22.6	302.58	1.12	-0.67
22.62	302.97	1.36	-0.49
22.64	303.35	1.28	-0.61
22.66	303.74	1	-0.6
22.66	303.74	1.23	-0.69
22.68	304.13	1.03	-0.58
22.68	304.13	1.26	-0.67
22.7	304.51	1.05	-0.59
22.72	304.9	1.27	-0.4
22.74	305.28	1.56	-0.4
22.76	305.69	1.36	-0.69
22.78	306.09	1.49	-0.56
22.8	306.49	1.87	-0.47
22.82	306.9	1.48	-0.61
22.84	307.3	1.54	-0.57
22.86	307.7	1.47	-0.7
22.88	308.11	1.63	-0.48
22.9	308.51	1.25	-0.68
22.92	308.91	1.39	-0.86
22.94	309.31	1.44	-0.48
22.96	309.72	1.57	-0.64
22.98	310.12	1.44	-0.73
23	310.52	1.35	-0.47
23.02	310.93	1.58	-0.53
23.06	311.73	1.3	-0.69
23.08	312.14	0.74	-1.43
23.1	312.54	1.1	-0.82
23.12	312.94	1.06	-0.61
23.14	313.34	1.14	-0.59
23.16	313.75	1.29	-0.61
23.18	314.15	0.82	-0.75
23.2	314.55	1.45	-0.57
23.22	314.96	0.97	-1.09
23.24	315.36	1.34	-0.68
23.26	315.76	1.23	-0.57
23.28	316.17	1.23	-0.82
23.3	316.45	1.47	-0.52
23.32	316.72	1.42	-0.33
23.34	317	1.26	-0.66
23.36	317.28	1.05	-0.89
23.38	317.56	1.25	-0.67
23.4	317.84	1.34	-0.37
23.44	318.39	1.7	-0.29
23.46	318.67	1.67	-0.4
23.48	318.95	1.37	-0.46
23.5	319.23	1.98	-0.29
23.52	319.51	1.9	-0.34
23.54	319.79	1.45	-0.54
23.56	320.06	1.92	-0.51
23.58	320.34	1.92	-0.32
23.6	320.62	1.25	-0.64
23.62	320.9	1.25	-0.85
23.64	321.18	1.42	-0.45
23.66	321.46	1.33	-0.59
23.68	321.73	1.3	-0.48
23.7	322.01	1.15	-0.38
23.72	322.29	1.19	-0.56
23.74	322.57	1	-0.74
23.76	322.85	1.31	-0.37
23.78	323.13	1.27	-0.51
23.8	323.4	0.82	-0.72
23.82	323.68	1.15	-0.42
23.84	323.96	0.97	-0.71
23.86	324.24	0.87	-0.71
23.88	324.52	1.05	-0.58
23.9	324.8	0.94	-0.74
23.94	325.35	0.48	-1.09
23.96	325.63	1.17	-0.46
23.98	325.91	0.84	-0.59
24	326.19	0.65	-0.7
24.02	326.47	0.9	-0.34
24.04	326.75	0.64	-0.46
24.06	327.02	0.55	-0.64
24.08	327.3	0.35	-1.04
24.1	327.58	0.72	-0.46
24.12	327.86	0.69	-0.42
24.14	328.14	0.71	-0.66
24.16	328.42	0.81	-0.58
24.18	328.69	0.71	-0.61
24.2	328.97	1.04	-0.35
24.22	329.25	0.73	-0.6
24.24	329.53	0.85	-0.54
24.26	329.81	0.39	-0.94
24.28	330.09	0.56	-0.67
24.3	330.36	0.56	-0.8
24.32	330.64	0.87	-0.73
24.34	330.92	0.69	-0.71
24.36	331.2	0.53	-0.79
24.38	331.48	0.77	-0.73
24.4	331.76	0.43	-1.09
24.42	332.04	0.82	-0.86
24.44	332.31	0.65	-0.78
24.46	332.59	0.8	-0.75
24.48	332.87	0.5	-0.88
24.5	333.15	0.58	-1.04
24.52	333.43	0.81	-0.8
24.54	333.71	0.61	-1.02
24.56	333.98	0.64	-0.77
24.58	334.26	0.7	-0.78
24.6	334.54	0.59	-1.03
24.62	334.82	0.86	-0.75
24.64	335.1	0.7	-0.69
24.66	335.38	2.24	-0.84
24.68	336.09	2.39	-0.92
24.7	336.81	2.75	-0.87
24.72	337.52	2.44	-0.89
24.74	338.24	1.77	-1.14
24.76	338.95	2.6	-0.99
24.78	339.67	3.01	-1
24.8	340.38	2.56	-1.12
24.82	341.1	2.74	-1.18
24.86	342.53	2.46	-1.18
24.88	343.25	2.41	-1.3
24.9	343.96	2.64	-1.02
24.92	344.68	2.3	-1.17
24.94	345.39	2.33	-1.22
24.96	346.11	2.21	-1.32
24.98	346.82	2.3	-1.36
25	347.54	2.57	-1.06
25.02	348.25	2.31	-1.06
25.04	348.97	1.98	-1.07
25.06	349.56	2.13	-1.31
25.08	350.14	2.13	-1.13
25.1	350.73	2.24	-1.22
25.12	351.32	1.83	-1.01
25.14	351.9	1.64	-1.18
25.16	352.49	1.87	-1.15
25.18	353.08	1.9	-0.77
25.2	353.67	2.08	-1.14
25.22	354.25	2.09	-0.82
25.24	354.84	1.72	-1.12
25.26	355.43	1.77	-0.98
25.28	356.01	1.99	-0.87
25.3	356.6	2.16	-0.82
25.32	357.19	2.11	-0.78
25.34	357.78	1.99	-0.87
25.36	358.36	1.86	-0.96
25.38	358.95	1.76	-1.13
25.4	359.54	1.9	-0.89
25.42	360.12	1.75	-0.87
25.44	360.71	1.86	-1.07
25.46	361.3	2.11	-0.91
25.48	361.89	1.75	-0.95
25.5	362.47	1.84	-0.82
25.52	363.06	1.84	-0.94
25.54	363.64	1.82	-0.79
25.56	364.21	2.05	-0.73
25.58	364.79	1.99	-0.83
25.6	365.37	2.01	-0.77
25.61	365.65	1.93	-0.61
25.62	365.94	2.14	-0.6
25.63	366.23	1.75	-0.78
25.64	366.51	1.27	-0.86
25.65	366.8	1.56	-0.66
25.66	367.09	1.14	-1.12
25.67	367.38	1.36	-0.75
25.68	367.66	1.21	-1.02
25.69	367.95	1.14	-0.86
25.7	368.24	1.7	-0.81
25.71	368.53	1.27	-0.69
25.72	368.82	1.04	-0.8
25.73	369.11	1.26	-0.7
25.74	369.39	1.06	-0.84
25.75	369.68	1.31	-0.7
25.76	369.97	1.14	-0.76
25.77	370.26	1.31	-0.9
25.78	370.54	1.18	-0.94
25.79	370.83	1.06	-0.92
25.8	371.12	1.25	-1.37
25.81	371.4	1.19	-0.86
25.82	371.69	1.76	-0.64
25.83	371.98	1.39	-0.89
25.84	372.27	1.38	-0.8
25.85	372.56	1.34	-0.87
25.86	372.84	1.29	-1.05
25.87	373.13	1.4	-0.79
25.88	373.42	1.23	-1.04
25.89	373.71	1.94	-0.67
25.9	374	1.05	-0.99
25.91	374.16	1.59	-0.6
25.92	374.32	1.5	-0.76
25.93	374.49	2.1	-0.22
25.94	374.65	2.21	-0.28
25.94	374.65	2.42	-0.2
25.95	374.82	2.09	-0.36
25.96	374.98	1.87	-0.38
25.97	375.14	1.88	-0.51
25.98	375.3	1.6	-0.46
26	375.63	1.44	-0.49
26.02	375.96	1.27	-0.43
26.04	376.28	1.28	-0.48
26.06	376.61	1.52	-0.28
26.08	376.94	1.36	-0.38
26.1	377.26	1.31	-0.7
26.12	377.59	1.36	-0.4
26.14	377.92	1.46	-0.32
26.16	378.24	1.45	-0.58
26.18	378.57	1.57	-0.53
26.2	378.9	1.34	-0.56
26.22	379.22	1.35	-0.41
26.24	379.55	1.09	-0.48
26.26	379.88	1.28	-0.5
26.28	380.2	1.19	-0.52
26.3	380.53	0.86	-0.76
26.32	380.86	1.08	-0.71
26.34	381.19	1.13	-0.78
26.36	381.51	1.16	-0.8
26.38	381.84	1.1	-0.82
26.4	382.17	1.04	-0.76
26.42	382.5	0.65	-0.84
26.44	382.82	1.41	-0.65
26.46	383.15	1.53	-0.49
26.48	383.47	1.85	-0.41
26.5	383.8	1.97	-0.38
26.52	384.13	1.99	-0.52
26.54	384.45	1.05	-1.09
26.56	384.78	1.39	
26.58	385.11	0.98	-0.85
26.6	385.32	0.93	-0.87
26.62	385.53	0.99	-0.75
26.64	385.74	1	-0.79
26.66	385.95	1.28	-0.46
26.68	386.16	1.07	-0.78
26.7	386.37	1.37	-0.61
26.72	386.58	1.2	-0.75
26.74	386.79	1.26	-0.73
26.76	387	1.74	-0.6
26.78	387.18	2.01	-0.41
26.8	387.37	1.43	-0.77
26.82	387.55	1.91	-0.42
26.84	387.74	1.45	-0.59
26.86	387.93	0.89	-0.92
26.88	388.11	1.21	-0.64
26.9	388.3	1.12	-0.69
26.92	388.48	1.08	-0.59
26.94	388.67	1.28	-0.39
26.96	388.85	1.26	-0.54
26.98	389.03	0.81	-0.54
27	389.22	0.98	-0.75
27.02	389.4	1.18	-0.52
27.04	389.59	0.98	-0.65
27.06	389.77	1.03	-0.4
27.08	389.96	1.37	-0.35
27.1	390.14	0.9	-0.92
27.12	390.33	1.06	-0.35
27.14	390.51	1.11	-0.35
27.16	390.7	0.94	-0.41
27.18	390.89	0.77	-0.95
27.2	391.07	1.01	-0.61
27.22	391.25	0.96	-0.57
27.24	391.44	1.03	-0.62
27.26	391.62	1.05	-0.44
27.28	391.8	0.97	-0.67
27.3	391.99	0.83	-0.69
27.32	392.17	0.8	-0.46
27.34	392.36	0.95	-0.55
27.36	392.54	0.89	-0.15
27.38	392.73	0.61	-0.69
27.4	392.92	0.61	-0.5
27.42	393.1	0.5	-0.62
27.44	393.28	1.09	-0.27
